titulo_do_filme,data_de_lancamento,genero,mpa_classificacao,total_bruto,bruto_ajustado_pela_inflacao
Kazaam,1996-07-17,comedia,PG,18880508,36009655
Jack,1996-08-09,drama,PG-13,58617334,111792852
First Kid,1996-08-30,comedia,PG,26465920,50465108
The Rich Man's Wife,1996-09-13,suspense,R,8538318,16284619
D3: The Mighty Ducks,1996-10-04,comedia,PG,22936273,43713554
The Associate,1996-10-25,comedia,PG-13,12772657,24333094
Ransom,1996-11-08,acao,R,136492681,259807820
The War at Home,1996-11-20,nao_definido,R,34368,65543
101 Dalmatians,1996-11-27,comedia,G,136189294,258728898
The Preacher's Wife,1996-12-13,drama,PG,48102795,91076877
Evita,1996-12-25,musical,PG,50047179,92077628
Metro,1997-01-17,acao,R,32017895,58804106
Prefontaine,1997-01-24,drama,PG-13,590817,1085093
Shadow Conspiracy,1997-01-31,suspense,R,2154540,3957025
That Darn Cat,1997-02-14,comedia,PG,18301828,33613158
Jungle 2 Jungle,1997-03-07,comedia,PG,59925026,110058379
The Sixth Man,1997-03-28,comedia,PG-13,14765099,27117599
Grosse Pointe Blank,1997-04-11,comedia_humor_negro,R,28084357,51579764
Romy and Michele's High School Reunion,1997-04-25,comedia,R,29235353,53693680
Gone Fishin',1997-05-30,comedia,PG,19745922,36265379
Con Air,1997-06-06,acao,R,101117573,185712664
Hercules,1997-06-13,aventura,G,99112101,182029412
George Of The Jungle,1997-07-16,comedia,PG,105263257,193326632
Nothing To Lose,1997-07-18,comedia,R,44480039,81692095
Air Bud,1997-08-01,comedia,PG,24646936,45266588
G.I. Jane,1997-08-22,drama,R,48169156,88467531
A Thousand Acres,1997-09-19,drama,R,7928412,14561324
Washington Square,1997-10-05,drama,PG,1775644,3257546
Rocket Man,1997-10-10,comedia,PG,15448043,28371890
Playing God,1997-10-17,suspense,R,4166918,7652965
Flubber,1997-11-26,comedia,PG,92993801,170406423
An American Werewolf in Paris,1997-12-25,terror,R,26570463,48546161
Mr. Magoo,1997-12-25,comedia,PG,21437192,39145784
Kundun,1997-12-25,drama,PG-13,5686694,10236836
Deep Rising,1998-01-30,acao,R,11203026,20136775
Krippendorf's Tribe,1998-02-27,comedia,PG-13,7571115,13608633
An Alan Smithee Film: Burn Hollywood …,1998-02-27,comedia,R,45779,82277
Meet the Deedles,1998-03-27,comedia,PG,4356126,7829877
He Got Game,1998-05-01,drama,R,21567853,38766948
The Horse Whisperer,1998-05-15,drama,PG-13,75383563,135497531
"Six Days, Seven Nights",1998-06-12,comedia_romantica,PG-13,74339294,133620516
Mulan,1998-06-19,aventura,G,120620254,216807832
Armageddon,1998-07-01,aventura,PG-13,201578182,362324957
Jane Austen's Mafia,1998-07-24,comedia,PG-13,19843795,35668055
The Parent Trap,1998-07-29,comedia,PG,66308518,119185667
Firelight,1998-09-04,drama,R,784419,1409943
Simon Birch,1998-09-11,drama,PG,18253415,32809442
Holy Man,1998-10-09,comedia,PG,12069719,21694605
Beloved,1998-10-16,drama,R,22852487,41062682
The Waterboy,1998-11-06,comedia,PG-13,161491646,288691833
I'll Be Home For Christmas,1998-11-13,comedia,PG,12214338,21941840
A Bug's Life,1998-11-20,aventura,G,162798565,288981698
Enemy of the State,1998-11-20,acao,R,111549836,198472008
Rushmore,1998-12-11,comedia_humor_negro,R,17105219,28392518
A Civil Action,1998-12-25,drama,PG-13,56709981,94139530
Mighty Joe Young,1998-12-25,aventura,PG,50632037,87906042
My Favorite Martian,1999-02-12,comedia,PG,36850101,61150849
The Other Sister,1999-02-26,comedia_romantica,PG-13,27807627,46145331
Doug's 1st Movie,1999-03-26,aventura,G,19421271,32228598
Ten Things I Hate About You,1999-03-31,comedia_romantica,PG-13,38177966,63354375
Endurance,1999-05-14,nao_definido,PG,229128,380218
Instinct,1999-06-04,drama,R,34105207,56595842
Tarzan,1999-06-16,aventura,G,171091819,283900254
Summer of Sam,1999-07-02,drama,R,19288130,32007656
Inspector Gadget,1999-07-23,comedia,PG,97387965,161610341
The Sixth Sense,1999-08-06,suspense,PG-13,293506292,485424724
The 13th Warrior,1999-08-27,acao,R,32698899,54262148
Breakfast of Champions,1999-09-17,comedia,R,178287,295851
